line,datetime,dim,m_dist,anom,anom_size,bus1,bus2,bus3,bus4,bus5,bus6,bus7,bus8,bus9,bus10,bus11,bus12,bus13,hw12,hw23,hw34,hw45,hw56,hw67,hw78,hw89,hw910,hw1011,hw1112,hw1213
25.0,2026-08-18T10:17:06.633115,2.0,12.602,1.0,,SK20BBE,SK20AYP,SK20BCE,0.0,0.0,0.0,0.0,0.0,0.0,,,,,224.2,302.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
25.0,2026-08-18T10:17:06.633115,2.0,18.273,1.0,,SK20AYP,SK20BCE,SK20BDO,0.0,0.0,0.0,0.0,0.0,0.0,,,,,302.0,531.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
25.0,2026-08-18T10:17:06.633115,2.0,15.695,1.0,,SK20BCE,SK20BDO,SK20AZC,0.0,0.0,0.0,0.0,0.0,0.0,,,,,531.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
25.0,2026-08-18T10:17:06.633115,2.0,6.928,1.0,,SK20BDO,SK20AZC,SK20AYZ,0.0,0.0,0.0,0.0,0.0,0.0,,,,,420.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
73.0,2026-08-18T10:17:06.633115,1.0,0.775,0.0,,LTZ1515,LTZ1526,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,453.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
73.0,2026-08-18T10:17:06.633115,1.0,0.002,0.0,,LTZ1526,LTZ1744,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,360.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
73.0,2026-08-18T10:17:06.633115,1.0,0.166,0.0,,LTZ1744,LTZ1529,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,379.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
73.0,2026-08-18T10:17:06.633115,1.0,2.061,0.0,,LTZ1529,LTZ1830,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,112.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
73.0,2026-08-18T10:17:06.633115,1.0,0.52,0.0,,LTZ1830,LTZ1818,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,422.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
73.0,2026-08-18T10:17:06.633115,1.0,0.436,0.0,,LTZ1818,LTZ1824,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,307.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
73.0,2026-08-18T10:17:06.633115,1.0,0.853,0.0,,LTZ1824,LTZ1531,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,257.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
73.0,2026-08-18T10:17:06.633115,1.0,3.0,1.0,,LTZ1531,LTZ1840,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
73.0,2026-08-18T10:17:06.633115,1.0,0.0,0.0,,LTZ1840,LTZ1322,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
73.0,2026-08-18T10:17:06.633115,1.0,1.085,0.0,,LTZ1834,LTZ1212,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,490.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
73.0,2026-08-18T10:17:06.633115,1.0,2.428,1.0,,LTZ1212,LTZ1491,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,68.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
73.0,2026-08-18T10:17:06.633115,1.0,1.259,0.0,,LTZ1491,LTZ1530,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,208.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
73.0,2026-08-18T10:17:06.633115,1.0,1.008,0.0,,LTZ1530,LTZ1476,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
73.0,2026-08-18T10:17:06.633115,1.0,1.069,0.0,,LTZ1476,LTZ1826,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,231.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
73.0,2026-08-18T10:17:06.633115,1.0,0.171,0.0,,LTZ1826,LTZ1209,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,380.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
73.0,2026-08-18T10:17:06.633115,1.0,0.356,0.0,,LTZ1209,LTZ1844,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,317.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
73.0,2026-08-18T10:17:06.633115,1.0,0.565,0.0,,LTZ1844,LTZ1813,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,292.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
73.0,2026-08-18T10:17:06.633115,1.0,0.5,0.0,,LTZ1813,LTZ1207,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
73.0,2026-08-18T10:17:06.633115,1.0,0.042,0.0,,LTZ1207,LTZ1539,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
73.0,2026-08-18T10:17:06.633115,1.0,0.5,0.0,,LTZ1539,LTZ1515,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
73.0,2026-08-18T10:17:06.633115,2.0,8.763,1.0,,LTZ1515,LTZ1526,LTZ1744,0.0,0.0,0.0,0.0,0.0,0.0,,,,,453.0,360.2,0.0,0.0,0.0,0.0,0.0,0.0,,,,
73.0,2026-08-18T10:17:06.633115,2.0,1.872,0.0,,LTZ1526,LTZ1744,LTZ1529,0.0,0.0,0.0,0.0,0.0,0.0,,,,,360.2,379.9,0.0,0.0,0.0,0.0,0.0,0.0,,,,
73.0,2026-08-18T10:17:06.633115,2.0,23.854,1.0,,LTZ1744,LTZ1529,LTZ1830,0.0,0.0,0.0,0.0,0.0,0.0,,,,,379.9,112.7,0.0,0.0,0.0,0.0,0.0,0.0,,,,
73.0,2026-08-18T10:17:06.633115,2.0,25.433,1.0,,LTZ1529,LTZ1830,LTZ1818,0.0,0.0,0.0,0.0,0.0,0.0,,,,,112.7,422.4,0.0,0.0,0.0,0.0,0.0,0.0,,,,
73.0,2026-08-18T10:17:06.633115,2.0,8.569,1.0,,LTZ1830,LTZ1818,LTZ1824,0.0,0.0,0.0,0.0,0.0,0.0,,,,,422.4,307.7,0.0,0.0,0.0,0.0,0.0,0.0,,,,
73.0,2026-08-18T10:17:06.633115,2.0,9.681,1.0,,LTZ1818,LTZ1824,LTZ1531,0.0,0.0,0.0,0.0,0.0,0.0,,,,,307.7,257.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
73.0,2026-08-18T10:17:06.633115,2.0,37.537,1.0,,LTZ1824,LTZ1531,LTZ1840,0.0,0.0,0.0,0.0,0.0,0.0,,,,,257.6,720.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
73.0,2026-08-18T10:17:06.633115,2.0,33.941,1.0,,LTZ1531,LTZ1840,LTZ1322,0.0,0.0,0.0,0.0,0.0,0.0,,,,,720.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
73.0,2026-08-18T10:17:06.633115,2.0,32.765,1.0,,LTZ1834,LTZ1212,LTZ1491,0.0,0.0,0.0,0.0,0.0,0.0,,,,,490.2,68.7,0.0,0.0,0.0,0.0,0.0,0.0,,,,
73.0,2026-08-18T10:17:06.633115,2.0,27.597,1.0,,LTZ1212,LTZ1491,LTZ1530,0.0,0.0,0.0,0.0,0.0,0.0,,,,,68.7,208.9,0.0,0.0,0.0,0.0,0.0,0.0,,,,
73.0,2026-08-18T10:17:06.633115,2.0,15.869,1.0,,LTZ1491,LTZ1530,LTZ1476,0.0,0.0,0.0,0.0,0.0,0.0,,,,,208.9,239.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
73.0,2026-08-18T10:17:06.633115,2.0,14.404,1.0,,LTZ1530,LTZ1476,LTZ1826,0.0,0.0,0.0,0.0,0.0,0.0,,,,,239.0,231.7,0.0,0.0,0.0,0.0,0.0,0.0,,,,
73.0,2026-08-18T10:17:06.633115,2.0,12.718,1.0,,LTZ1476,LTZ1826,LTZ1209,0.0,0.0,0.0,0.0,0.0,0.0,,,,,231.7,380.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,
73.0,2026-08-18T10:17:06.633115,2.0,4.882,1.0,,LTZ1826,LTZ1209,LTZ1844,0.0,0.0,0.0,0.0,0.0,0.0,,,,,380.5,317.3,0.0,0.0,0.0,0.0,0.0,0.0,,,,
73.0,2026-08-18T10:17:06.633115,2.0,6.648,1.0,,LTZ1209,LTZ1844,LTZ1813,0.0,0.0,0.0,0.0,0.0,0.0,,,,,317.3,292.2,0.0,0.0,0.0,0.0,0.0,0.0,,,,
73.0,2026-08-18T10:17:06.633115,2.0,9.536,1.0,,LTZ1844,LTZ1813,LTZ1207,0.0,0.0,0.0,0.0,0.0,0.0,,,,,292.2,420.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
73.0,2026-08-18T10:17:06.633115,2.0,5.558,1.0,,LTZ1813,LTZ1207,LTZ1539,0.0,0.0,0.0,0.0,0.0,0.0,,,,,420.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
73.0,2026-08-18T10:17:06.633115,2.0,5.558,1.0,,LTZ1207,LTZ1539,LTZ1515,0.0,0.0,0.0,0.0,0.0,0.0,,,,,365.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
18.0,2026-08-18T10:17:06.758541,1.0,2.883,1.0,,LF75ONM,LF75OOU,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
18.0,2026-08-18T10:17:06.758541,1.0,2.917,1.0,,LF75OOU,LF75OPX,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
18.0,2026-08-18T10:17:06.758541,1.0,2.992,1.0,,LF75OPX,LF75OOH,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
18.0,2026-08-18T10:17:06.758541,1.0,2.975,1.0,,LF75OOH,LF75OPG,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
18.0,2026-08-18T10:17:06.758541,1.0,2.983,1.0,,LF75OPG,LF75ORK,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
18.0,2026-08-18T10:17:06.758541,1.0,2.867,1.0,,LF75ORK,LF75OPU,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
18.0,2026-08-18T10:17:06.758541,1.0,2.7,1.0,,LF75OPU,LF75OOY,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
18.0,2026-08-18T10:17:06.758541,1.0,2.833,1.0,,LF75OOY,LF75ONP,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
18.0,2026-08-18T10:17:06.758541,1.0,2.958,1.0,,LF75ONP,LF75OPM,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
18.0,2026-08-18T10:17:06.758541,1.0,2.975,1.0,,LF75OPM,LF75ONU,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
18.0,2026-08-18T10:17:06.758541,1.0,2.783,1.0,,LF75ONU,LF75OPP,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
18.0,2026-08-18T10:17:06.758541,1.0,2.742,1.0,,LF75OPP,LF75OPW,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
18.0,2026-08-18T10:17:06.758541,1.0,2.0,0.0,,LF75OPW,LF75OPR,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
18.0,2026-08-18T10:17:06.758541,1.0,0.525,0.0,,LF75OPR,LF75ONW,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,297.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
18.0,2026-08-18T10:17:06.758541,1.0,2.908,1.0,,LF75ORA,LF75OPD,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
18.0,2026-08-18T10:17:06.758541,1.0,2.992,1.0,,LF75OPD,LF75ONL,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
18.0,2026-08-18T10:17:06.758541,1.0,2.892,1.0,,LF75ONL,LF75OOA,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
18.0,2026-08-18T10:17:06.758541,1.0,2.992,1.0,,LF75OOA,LF75ORH,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
18.0,2026-08-18T10:17:06.758541,1.0,2.942,1.0,,LF75ORH,LF75OPA,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
18.0,2026-08-18T10:17:06.758541,1.0,2.992,1.0,,LF75OPA,LF75OPS,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
18.0,2026-08-18T10:17:06.758541,1.0,2.933,1.0,,LF75OPS,LF75OPK,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
18.0,2026-08-18T10:17:06.758541,1.0,2.983,1.0,,LF75OPK,LF75ORC,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
18.0,2026-08-18T10:17:06.758541,1.0,2.975,1.0,,LF75ORC,LF75OOE,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
18.0,2026-08-18T10:17:06.758541,1.0,2.767,1.0,,LF75OOE,LF75OPY,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
18.0,2026-08-18T10:17:06.758541,1.0,2.725,1.0,,LF75OPY,LF75ONV,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
18.0,2026-08-18T10:17:06.758541,1.0,3.0,1.0,,LF75ONV,LF75OPV,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
18.0,2026-08-18T10:17:06.758541,1.0,1.808,0.0,,LF75OPV,LF75OPN,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
18.0,2026-08-18T10:17:06.758541,1.0,0.5,0.0,,LF75OPN,LF75OOV,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
18.0,2026-08-18T10:17:06.758541,1.0,0.5,0.0,,LF75OOV,LF75OPC,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
18.0,2026-08-18T10:17:06.758541,1.0,0.5,0.0,,LF75OPC,LF75ONH,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
18.0,2026-08-18T10:17:06.758541,1.0,0.5,0.0,,LF75ONH,LF75OPT,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
18.0,2026-08-18T10:17:06.758541,1.0,0.5,0.0,,LF75OPT,LF75ORL,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
24.0,2026-08-18T10:17:06.758541,1.0,2.9,1.0,,LTZ1631,LTZ1624,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
24.0,2026-08-18T10:17:06.758541,1.0,2.95,1.0,,LTZ1624,LTZ1034,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
24.0,2026-08-18T10:17:06.758541,1.0,3.0,1.0,,LTZ1034,LTZ1161,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
24.0,2026-08-18T10:17:06.758541,1.0,2.917,1.0,,LTZ1161,LTZ1603,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
24.0,2026-08-18T10:17:06.758541,1.0,2.975,1.0,,LTZ1162,LTZ1605,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
24.0,2026-08-18T10:17:06.758541,1.0,2.692,1.0,,LTZ1605,LTZ1619,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
24.0,2026-08-18T10:17:06.758541,1.0,3.0,1.0,,LTZ1619,LTZ1614,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
24.0,2026-08-18T10:17:06.758541,1.0,2.933,1.0,,LTZ1614,LTZ1164,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
24.0,2026-08-18T10:17:06.758541,1.0,2.125,0.0,,LTZ1164,LTZ1611,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
24.0,2026-08-18T10:17:06.758541,1.0,2.458,0.0,,LTZ1611,LTZ1025,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
24.0,2026-08-18T10:17:06.758541,1.0,0.9,0.0,,LTZ1025,LTZ1684,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,468.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
25.0,2026-08-18T10:17:06.758541,1.0,2.958,1.0,,SK20AXV,SK20BBU,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
25.0,2026-08-18T10:17:06.758541,1.0,2.817,1.0,,SK20BBU,SK20AYL,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
25.0,2026-08-18T10:17:06.758541,1.0,3.0,1.0,,SK20AYL,SK20AXW,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
25.0,2026-08-18T10:17:06.758541,1.0,2.858,1.0,,SK20AXW,SK20AYD,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
25.0,2026-08-18T10:17:06.758541,1.0,2.975,1.0,,SK20AYD,SK20BCZ,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
25.0,2026-08-18T10:17:06.758541,1.0,2.9,1.0,,SK20BCZ,SK20AYW,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
25.0,2026-08-18T10:17:06.758541,1.0,2.775,1.0,,SK20AYW,SK20BDV,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
25.0,2026-08-18T10:17:06.758541,1.0,2.625,1.0,,SK20BDV,SK20AYJ,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
25.0,2026-08-18T10:17:06.758541,1.0,2.95,1.0,,SK20AYJ,SK20BDO,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
25.0,2026-08-18T10:17:06.758541,1.0,2.933,1.0,,SK20BDO,SK20AYZ,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
25.0,2026-08-18T10:17:06.758541,1.0,2.742,1.0,,SK20AYZ,SK20AYS,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
25.0,2026-08-18T10:17:06.758541,1.0,2.9,1.0,,SK20AYS,SK20AZC,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
25.0,2026-08-18T10:17:06.758541,1.0,2.85,1.0,,SK20AZC,SK20AYV,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
25.0,2026-08-18T10:17:06.758541,1.0,2.2,0.0,,SK20AYV,SK20BDE,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
25.0,2026-08-18T10:17:06.758541,1.0,0.425,0.0,,SK20BDE,SK20BDU,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,309.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
25.0,2026-08-18T10:17:06.758541,1.0,4.517,1.0,,SK20BDU,SK20AZJ,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,902.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
25.0,2026-08-18T10:17:06.758541,1.0,2.992,1.0,,SK20AXY,SK20AYU,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
25.0,2026-08-18T10:17:06.758541,1.0,2.9,1.0,,SK20AYU,SK20BDY,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
25.0,2026-08-18T10:17:06.758541,1.0,2.925,1.0,,SK20BDY,SK20AYN,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
25.0,2026-08-18T10:17:06.758541,1.0,2.892,1.0,,SK20AYN,SK20BCE,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
25.0,2026-08-18T10:17:06.758541,1.0,2.95,1.0,,SK20BCE,SK20AYM,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
25.0,2026-08-18T10:17:06.758541,1.0,2.917,1.0,,SK20AYM,SK20BBX,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
25.0,2026-08-18T10:17:06.758541,1.0,2.975,1.0,,SK20BBX,SK20AYG,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
25.0,2026-08-18T10:17:06.758541,1.0,2.983,1.0,,SK20AYG,SK20AYP,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
25.0,2026-08-18T10:17:06.758541,1.0,2.317,0.0,,SK20AYP,SK20AYA,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
25.0,2026-08-18T10:17:06.758541,1.0,2.95,1.0,,SK20AYA,SK20BBE,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
73.0,2026-08-18T10:17:06.758541,1.0,2.917,1.0,,LTZ1830,LTZ1529,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
73.0,2026-08-18T10:17:06.758541,1.0,2.975,1.0,,LTZ1529,LTZ1744,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
73.0,2026-08-18T10:17:06.758541,1.0,2.95,1.0,,LTZ1744,LTZ1515,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
73.0,2026-08-18T10:17:06.758541,1.0,2.983,1.0,,LTZ1515,LTZ1526,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
73.0,2026-08-18T10:17:06.758541,1.0,2.95,1.0,,LTZ1526,LTZ1824,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
73.0,2026-08-18T10:17:06.758541,1.0,2.675,1.0,,LTZ1824,LTZ1818,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
73.0,2026-08-18T10:17:06.758541,1.0,1.725,0.0,,LTZ1818,LTZ1531,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
73.0,2026-08-18T10:17:06.758541,1.0,3.0,1.0,,LTZ1531,LTZ1840,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
73.0,2026-08-18T10:17:06.758541,1.0,2.817,1.0,,LTZ1844,LTZ1530,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
73.0,2026-08-18T10:17:06.758541,1.0,2.892,1.0,,LTZ1530,LTZ1209,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
